store_id,product_id,date,category,price,promotion_active,discount_percent,units_sold,inventory_level,day_of_week
12,1323,04-11-2025,Clothing,2273,Yes,5,38,488,Saturday
16,1135,15-02-2025,Clothing,847,Yes,5,14,474,Monday
46,1129,12-04-2025,Home,1638,Yes,15,42,446,Thursday
24,1118,26-12-2025,Personal Care,2622,Yes,0,27,122,Friday
5,1493,24-02-2025,Grocery,2649,No,0,27,277,Saturday
8,1208,29-03-2025,Electronics,203,No,0,16,95,Tuesday
5,1783,19-02-2025,Clothing,1209,Yes,20,38,51,Tuesday
28,1215,03-11-2025,Clothing,1651,No,0,27,238,Friday
24,1757,08-07-2025,Home,104,Yes,5,35,112,Thursday
21,1914,13-02-2025,Home,849,Yes,0,15,282,Sunday
18,1933,29-02-2025,Electronics,2383,Yes,20,25,319,Wednesday
50,1442,02-04-2025,Home,1711,Yes,10,30,470,Friday
31,1103,06-01-2025,Clothing,897,Yes,0,24,428,Wednesday
22,1221,03-12-2025,Home,2666,Yes,5,35,159,Saturday
32,1657,19-04-2025,Grocery,2382,Yes,20,41,59,Thursday
17,1454,24-07-2025,Personal Care,1669,Yes,0,20,335,Monday
17,1256,21-05-2025,Clothing,256,Yes,30,17,212,Monday
41,1455,26-11-2025,Grocery,2303,No,0,11,286,Friday
31,1993,27-03-2025,Home,2300,Yes,15,32,496,Tuesday
34,1408,02-11-2025,Clothing,2269,Yes,15,26,273,Thursday
36,1951,25-05-2025,Clothing,1547,No,0,32,267,Saturday
27,1772,16-12-2025,Home,160,Yes,5,16,319,Monday
38,1740,12-06-2025,Grocery,266,No,0,8,403,Thursday
49,1249,24-01-2025,Personal Care,966,No,0,21,388,Thursday
39,1723,28-02-2025,Grocery,453,No,0,30,93,Sunday
4,1365,27-09-2025,Electronics,2606,No,0,18,253,Monday
30,1615,14-05-2025,Personal Care,559,No,0,31,246,Tuesday
9,1975,28-05-2025,Electronics,2843,No,0,48,206,Sunday
33,1639,02-07-2025,Clothing,1026,No,0,24,78,Friday
13,1974,07-05-2025,Personal Care,1162,Yes,30,36,162,Sunday
1,1277,12-05-2025,Home,2724,Yes,30,19,40,Saturday
5,1773,14-02-2025,Electronics,160,Yes,0,22,133,Friday
23,1215,22-06-2025,Clothing,2305,Yes,30,41,211,Thursday
40,1858,19-04-2025,Home,2075,Yes,0,33,430,Monday
24,1157,30-11-2025,Personal Care,1788,No,0,24,219,Sunday
28,1669,08-07-2025,Personal Care,1382,No,0,26,300,Sunday
35,1085,09-08-2025,Personal Care,447,No,0,10,468,Wednesday
20,1843,05-01-2025,Grocery,2376,No,0,44,437,Saturday
32,1742,21-12-2025,Clothing,1320,Yes,30,30,329,Monday
24,1928,01-03-2025,Clothing,1208,Yes,5,36,203,Saturday
29,1542,05-06-2025,Home,2955,No,0,22,311,Friday
16,1086,04-07-2025,Clothing,1350,Yes,15,51,498,Saturday
13,1756,15-10-2025,Clothing,148,No,0,29,366,Thursday
6,1777,20-08-2025,Clothing,1648,Yes,20,20,308,Tuesday
37,1302,12-01-2025,Home,141,Yes,20,14,49,Friday
22,1083,20-05-2025,Grocery,312,No,0,10,423,Friday
7,1763,28-11-2025,Home,1335,Yes,0,24,344,Saturday
49,1470,20-07-2025,Clothing,1055,Yes,15,29,411,Friday
32,1550,07-02-2025,Personal Care,1433,No,0,36,364,Tuesday
1,1825,12-07-2025,Grocery,239,No,0,37,407,Sunday
8,1431,03-08-2025,Electronics,1953,Yes,20,19,205,Saturday
21,1209,18-07-2025,Home,1056,Yes,30,31,212,Saturday
20,1748,28-02-2025,Clothing,2217,No,0,35,160,Monday
2,1598,03-09-2025,Grocery,2704,Yes,5,35,487,Monday
38,1241,03-11-2025,Home,1330,Yes,5,19,114,Wednesday
12,1932,08-06-2025,Personal Care,2486,Yes,15,33,114,Wednesday
26,1936,24-06-2025,Personal Care,2304,No,0,36,456,Wednesday
4,1222,09-03-2025,Home,428,No,0,30,461,Tuesday
1,1895,29-08-2025,Clothing,2210,No,0,20,423,Monday
27,1160,13-06-2025,Electronics,1893,Yes,30,21,235,Friday
34,1547,28-01-2025,Electronics,1112,Yes,30,28,399,Friday
9,1084,29-06-2025,Clothing,2392,Yes,0,24,124,Sunday
48,1600,05-10-2025,Personal Care,2568,Yes,15,13,375,Thursday
29,1213,20-01-2025,Personal Care,1293,Yes,5,11,233,Tuesday
21,1318,26-07-2025,Grocery,1742,No,0,34,100,Sunday
24,1076,17-12-2025,Electronics,2328,No,0,19,259,Saturday
42,1455,07-01-2025,Home,483,No,0,12,366,Thursday
30,1790,06-01-2025,Electronics,2965,No,0,12,141,Wednesday
48,1305,21-06-2025,Home,2573,Yes,10,41,341,Thursday
47,1112,17-06-2025,Clothing,2325,Yes,10,31,116,Tuesday
29,1846,14-07-2025,Grocery,1171,No,0,36,390,Saturday
12,1197,24-07-2025,Grocery,467,Yes,20,20,68,Tuesday
8,1444,27-07-2025,Grocery,1947,Yes,0,15,136,Monday
42,1210,16-03-2025,Home,1449,No,0,13,494,Friday
47,1410,09-11-2025,Clothing,2027,No,0,5,491,Thursday
20,1666,13-08-2025,Grocery,1053,Yes,10,28,189,Tuesday
19,1844,22-02-2025,Personal Care,2332,No,0,26,124,Friday
36,1239,29-06-2025,Personal Care,2972,Yes,10,26,412,Friday
46,1723,10-04-2025,Personal Care,2099,Yes,20,42,385,Tuesday
37,1427,22-12-2025,Clothing,159,Yes,0,35,89,Tuesday
29,1996,10-03-2025,Electronics,1398,Yes,10,14,156,Thursday
48,1918,20-06-2025,Personal Care,2381,Yes,20,19,488,Wednesday
16,1776,20-10-2025,Clothing,646,Yes,0,38,167,Saturday
30,1032,25-07-2025,Electronics,729,Yes,20,23,300,Sunday
40,1606,23-11-2025,Grocery,2746,Yes,10,41,407,Saturday
34,1395,01-03-2025,Personal Care,699,Yes,15,17,259,Monday
16,1581,19-06-2025,Grocery,1711,Yes,10,23,286,Tuesday
26,1982,11-09-2025,Personal Care,2678,Yes,30,30,363,Sunday
49,1288,05-09-2025,Home,469,No,0,31,196,Thursday
37,1117,26-09-2025,Clothing,2877,No,0,12,442,Thursday
4,1303,11-11-2025,Home,2200,No,0,25,235,Monday
38,1898,05-02-2025,Electronics,1592,No,0,34,404,Sunday
4,1487,21-12-2025,Grocery,559,No,0,30,144,Friday
16,1900,05-02-2025,Clothing,2205,Yes,20,44,176,Saturday
15,1665,03-08-2025,Personal Care,2287,No,0,25,308,Sunday
8,1903,02-10-2025,Personal Care,552,Yes,0,23,286,Sunday
2,1332,29-03-2025,Grocery,1906,Yes,10,36,144,Saturday
10,1365,20-12-2025,Personal Care,1855,No,0,30,437,Friday
20,1332,12-09-2025,Electronics,995,Yes,10,22,35,Thursday
13,1323,30-06-2025,Home,1985,Yes,5,19,171,Sunday
13,1545,19-11-2025,Electronics,115,Yes,30,56,470,Saturday
18,1890,03-08-2025,Electronics,834,Yes,30,31,74,Wednesday
15,1882,06-06-2025,Grocery,1421,No,0,15,232,Monday
33,1680,31-05-2025,Clothing,2960,Yes,10,32,112,Saturday
12,1683,25-04-2025,Clothing,1575,Yes,20,28,284,Tuesday
5,1543,24-01-2025,Grocery,592,Yes,15,41,59,Thursday
37,1089,25-03-2025,Clothing,2506,No,0,32,295,Wednesday
2,1190,18-03-2025,Grocery,826,Yes,5,51,162,Saturday
1,1951,12-09-2025,Grocery,2597,No,0,39,489,Sunday
21,1674,04-09-2025,Grocery,786,Yes,20,42,417,Saturday
48,1974,29-09-2025,Electronics,2166,No,0,48,278,Sunday
43,1451,07-10-2025,Clothing,2482,Yes,0,20,331,Thursday
38,1617,12-09-2025,Clothing,2983,Yes,10,21,270,Friday
12,1332,18-03-2025,Personal Care,194,Yes,20,37,385,Monday
29,1740,14-05-2025,Grocery,122,No,0,37,432,Thursday
38,1810,01-05-2025,Personal Care,347,Yes,5,50,311,Saturday
40,1756,26-09-2025,Clothing,648,Yes,10,27,237,Monday
11,1387,10-05-2025,Electronics,2461,No,0,47,65,Saturday
4,1323,29-07-2025,Home,704,No,0,44,373,Saturday
49,1779,03-11-2025,Electronics,1542,Yes,30,37,41,Tuesday
1,1246,28-07-2025,Personal Care,642,No,0,17,287,Saturday
28,1958,09-02-2025,Grocery,629,Yes,15,38,304,Wednesday
16,1428,24-08-2025,Grocery,2834,Yes,10,42,149,Monday
3,1164,25-07-2025,Personal Care,980,No,0,18,178,Wednesday
30,1880,20-07-2025,Electronics,2711,Yes,30,22,195,Friday
27,1355,06-05-2025,Electronics,1611,No,0,18,420,Monday
39,1478,06-06-2025,Home,2300,Yes,15,21,124,Thursday
32,1209,03-10-2025,Home,1881,No,0,26,340,Saturday
18,1635,10-01-2025,Personal Care,1766,Yes,0,28,373,Wednesday
18,1105,03-07-2025,Grocery,795,No,0,18,282,Thursday
47,1859,02-03-2025,Grocery,678,No,0,30,90,Sunday
21,1262,22-09-2025,Grocery,1369,No,0,29,250,Monday
3,1192,18-03-2025,Personal Care,1287,No,0,36,331,Tuesday
28,1490,05-10-2025,Electronics,2488,Yes,0,31,126,Wednesday
43,1386,16-03-2025,Electronics,2167,No,0,43,180,Saturday
34,1886,01-07-2025,Electronics,1198,No,0,29,227,Tuesday
9,1041,13-01-2025,Home,470,No,0,18,209,Wednesday
14,1571,18-12-2025,Clothing,2368,Yes,30,25,172,Saturday
6,1818,06-08-2025,Grocery,2780,Yes,10,33,140,Sunday
22,1291,11-09-2025,Clothing,1657,No,0,29,50,Thursday
23,1681,30-12-2025,Electronics,957,Yes,15,18,123,Thursday
31,1596,11-05-2025,Personal Care,2181,Yes,30,20,195,Thursday
26,1278,28-01-2025,Home,1313,Yes,15,12,81,Wednesday
17,1074,13-01-2025,Grocery,2079,No,0,35,260,Saturday
17,1834,08-12-2025,Electronics,1471,No,0,24,476,Wednesday
24,1031,21-10-2025,Electronics,2680,No,0,26,216,Friday
5,1282,04-02-2025,Home,359,Yes,20,35,297,Thursday
9,1699,16-09-2025,Clothing,1891,No,0,7,485,Thursday
10,1619,08-04-2025,Clothing,1314,No,0,6,204,Thursday
34,1000,05-10-2025,Home,985,No,0,20,368,Tuesday
6,1639,14-10-2025,Clothing,64,Yes,20,54,272,Sunday
46,1212,22-12-2025,Home,1131,No,0,25,73,Monday
22,1636,18-12-2025,Home,2862,Yes,5,16,442,Tuesday
24,1766,08-12-2025,Personal Care,2359,No,0,23,209,Thursday
46,1182,20-09-2025,Electronics,2091,Yes,30,31,147,Wednesday
8,1869,19-08-2025,Personal Care,309,Yes,0,34,473,Saturday
31,1054,25-06-2025,Clothing,2832,No,0,26,40,Tuesday
24,1732,15-12-2025,Clothing,1677,No,0,31,149,Saturday
37,1848,07-03-2025,Personal Care,801,No,0,28,458,Sunday
11,1128,12-04-2025,Home,1772,Yes,20,36,399,Sunday
1,1483,26-10-2025,Electronics,2594,No,0,26,138,Saturday
25,1955,13-12-2025,Electronics,1147,No,0,30,234,Wednesday
13,1292,01-07-2025,Personal Care,249,Yes,30,23,80,Sunday
31,1175,10-07-2025,Grocery,542,No,0,39,188,Monday
15,1401,12-11-2025,Home,1316,No,0,33,429,Sunday
35,1289,16-03-2025,Home,631,No,0,28,365,Saturday
28,1123,18-03-2025,Clothing,767,Yes,20,40,497,Wednesday
18,1640,23-07-2025,Clothing,128,No,0,14,309,Friday
36,1265,13-10-2025,Grocery,1369,Yes,0,28,266,Tuesday
43,1080,03-01-2025,Electronics,671,Yes,0,34,477,Sunday
27,1495,17-01-2025,Home,1427,No,0,27,91,Sunday
36,1631,02-12-2025,Personal Care,1489,No,0,18,305,Monday
29,1584,25-01-2025,Electronics,1083,No,0,20,116,Wednesday
18,1367,13-01-2025,Personal Care,159,Yes,20,23,80,Saturday
5,1982,05-07-2025,Grocery,1319,Yes,20,22,258,Monday
26,1315,29-09-2025,Grocery,2209,No,0,36,434,Tuesday
17,1920,15-11-2025,Grocery,2024,No,0,41,450,Saturday
33,1672,21-05-2025,Clothing,88,Yes,5,29,185,Thursday
5,1926,30-11-2025,Clothing,2617,No,0,22,201,Wednesday
14,1048,07-03-2025,Personal Care,2483,Yes,10,18,191,Tuesday
10,1381,28-06-2025,Electronics,1297,Yes,5,15,197,Monday
26,1097,13-06-2025,Personal Care,1814,Yes,0,8,224,Friday
38,1329,08-08-2025,Home,888,Yes,5,12,184,Monday
18,1071,12-12-2025,Home,949,No,0,26,229,Sunday
47,1649,05-12-2025,Home,1369,Yes,10,16,288,Monday
29,1876,31-12-2025,Home,2687,Yes,5,28,335,Friday
28,1681,27-08-2025,Home,2117,Yes,0,44,448,Saturday
33,1942,17-01-2025,Personal Care,1625,Yes,15,10,327,Friday
39,1055,15-06-2025,Electronics,2619,No,0,7,248,Wednesday
13,1754,28-08-2025,Personal Care,2249,No,0,25,188,Wednesday
15,1191,28-11-2025,Electronics,1696,Yes,5,13,405,Thursday
12,1890,20-01-2025,Clothing,519,Yes,20,13,148,Wednesday
1,1886,06-08-2025,Electronics,1076,No,0,39,252,Tuesday
7,1568,13-08-2025,Home,2053,No,0,9,349,Tuesday
5,1815,18-03-2025,Clothing,1040,Yes,15,43,457,Monday
19,1120,01-08-2025,Electronics,781,Yes,10,16,38,Wednesday
32,1073,15-02-2025,Electronics,2566,No,0,35,35,Sunday
36,1684,08-08-2025,Home,2230,No,0,27,468,Saturday
43,1617,16-04-2025,Electronics,112,No,0,22,378,Wednesday
3,1132,22-05-2025,Grocery,790,Yes,5,35,375,Friday
20,1200,05-01-2025,Grocery,1109,No,0,27,332,Friday
50,1418,12-04-2025,Electronics,2883,Yes,30,30,387,Wednesday
18,1467,09-03-2025,Personal Care,342,No,0,31,237,Wednesday
16,1504,23-10-2025,Grocery,556,Yes,10,43,283,Saturday
15,1956,01-09-2025,Home,1216,Yes,10,36,457,Monday
41,1065,06-07-2025,Home,863,No,0,33,327,Tuesday
19,1677,21-12-2025,Grocery,1415,No,0,22,319,Thursday
38,1916,08-05-2025,Home,2802,Yes,0,13,230,Wednesday
35,1673,20-02-2025,Home,1772,No,0,11,194,Monday
47,1604,08-12-2025,Clothing,907,Yes,10,3,28,Wednesday
30,1517,10-06-2025,Home,145,Yes,15,18,57,Wednesday
28,1848,27-04-2025,Personal Care,2797,Yes,5,30,30,Sunday
42,1954,21-04-2025,Personal Care,2921,Yes,0,30,54,Thursday
33,1404,19-02-2025,Grocery,2443,Yes,15,27,209,Sunday
43,1830,30-08-2025,Grocery,64,Yes,30,27,376,Friday
24,1967,13-01-2025,Grocery,1824,No,0,28,99,Monday
8,1794,18-02-2025,Clothing,1488,No,0,39,294,Friday
43,1090,17-09-2025,Personal Care,2127,Yes,0,13,310,Tuesday
16,1604,30-07-2025,Home,1313,No,0,30,200,Sunday
7,1470,11-03-2025,Grocery,272,Yes,20,44,251,Tuesday
27,1632,09-11-2025,Grocery,2113,Yes,5,17,308,Friday
48,1754,30-12-2025,Home,1743,Yes,5,23,98,Sunday
26,1112,09-09-2025,Clothing,691,No,0,6,291,Friday
14,1267,01-10-2025,Grocery,2274,Yes,15,13,233,Wednesday
42,1907,13-10-2025,Electronics,2741,No,0,18,188,Thursday
48,1614,12-05-2025,Electronics,2376,Yes,15,25,340,Wednesday
23,1664,08-08-2025,Clothing,1556,Yes,15,32,425,Thursday
4,1167,27-09-2025,Home,1896,Yes,0,48,179,Sunday
44,1101,31-12-2025,Clothing,2292,No,0,29,224,Sunday
34,1767,26-09-2025,Home,182,No,0,19,204,Thursday
1,1704,30-10-2025,Clothing,86,No,0,11,228,Friday
20,1214,07-11-2025,Personal Care,1058,No,0,38,326,Saturday
34,1776,25-06-2025,Grocery,279,No,0,12,114,Thursday
42,1880,10-07-2025,Home,430,Yes,10,34,321,Wednesday
6,1406,25-04-2025,Clothing,417,No,0,21,312,Saturday
19,1657,24-05-2025,Grocery,1394,Yes,10,26,96,Sunday
9,1949,23-06-2025,Grocery,2058,Yes,15,43,339,Monday
27,1343,13-12-2025,Grocery,2577,Yes,20,39,299,Monday
25,1775,17-08-2025,Home,756,Yes,15,26,370,Sunday
8,1979,01-07-2025,Personal Care,533,No,0,19,183,Saturday
45,1976,30-11-2025,Personal Care,2966,Yes,30,30,80,Thursday
9,1859,04-03-2025,Electronics,516,Yes,0,39,232,Wednesday
25,1205,11-12-2025,Home,1172,No,0,32,228,Monday
33,1797,03-09-2025,Grocery,2071,No,0,39,373,Sunday
23,1843,24-03-2025,Clothing,2300,Yes,20,9,185,Tuesday
23,1789,25-10-2025,Electronics,1594,No,0,34,251,Friday
15,1647,13-05-2025,Clothing,2018,No,0,36,187,Monday
25,1249,19-04-2025,Home,1732,Yes,10,23,491,Monday
30,1396,06-09-2025,Grocery,2579,Yes,20,42,112,Thursday
33,1867,17-03-2025,Grocery,997,Yes,20,38,72,Saturday
32,1341,07-09-2025,Electronics,2910,No,0,40,310,Tuesday
16,1802,20-03-2025,Electronics,1879,No,0,11,432,Wednesday
38,1172,07-07-2025,Clothing,866,No,0,17,81,Tuesday
8,1255,02-07-2025,Grocery,1541,Yes,30,27,433,Wednesday
17,1574,08-03-2025,Clothing,756,No,0,23,361,Wednesday
33,1155,18-07-2025,Electronics,2036,Yes,10,19,34,Wednesday
35,1768,03-12-2025,Personal Care,2279,Yes,20,19,65,Friday
50,1371,29-11-2025,Personal Care,2665,No,0,32,176,Monday
23,1746,20-04-2025,Personal Care,1006,No,0,38,251,Saturday
36,1112,21-10-2025,Grocery,1158,No,0,9,473,Tuesday
13,1376,07-06-2025,Clothing,1288,Yes,0,12,497,Friday
2,1423,19-10-2025,Electronics,626,Yes,30,20,360,Monday
6,1539,21-12-2025,Clothing,2856,Yes,15,29,289,Saturday
27,1142,05-09-2025,Electronics,2558,No,0,11,493,Tuesday
6,1138,02-06-2025,Clothing,372,No,0,35,35,Friday
10,1879,06-08-2025,Grocery,1424,Yes,30,45,159,Tuesday
11,1088,22-09-2025,Electronics,2544,No,0,25,427,Friday
2,1424,17-01-2025,Electronics,180,Yes,0,34,172,Sunday
26,1853,28-04-2025,Home,813,Yes,0,18,210,Monday
1,1920,03-05-2025,Clothing,1485,No,0,30,132,Wednesday
34,1691,29-06-2025,Home,245,No,0,36,289,Saturday
14,1259,19-08-2025,Home,2718,Yes,15,17,109,Tuesday
39,1535,21-10-2025,Clothing,954,No,0,21,114,Tuesday
20,1521,17-06-2025,Electronics,2398,Yes,5,10,179,Tuesday
44,1781,14-09-2025,Electronics,2811,Yes,5,11,296,Monday
24,1685,01-07-2025,Grocery,1858,Yes,0,13,232,Friday
22,1809,15-04-2025,Home,349,No,0,19,89,Thursday
32,1033,13-07-2025,Grocery,1225,Yes,15,11,438,Monday
32,1983,25-04-2025,Clothing,1790,Yes,5,16,54,Tuesday
3,1197,01-05-2025,Electronics,1450,Yes,5,36,92,Sunday
24,1381,02-03-2025,Clothing,2923,Yes,30,50,473,Saturday
8,1314,13-06-2025,Electronics,649,Yes,5,9,391,Wednesday
37,1453,26-09-2025,Clothing,2435,Yes,10,41,289,Friday
20,1998,12-12-2025,Personal Care,427,Yes,30,15,134,Monday
19,1495,02-11-2025,Home,811,Yes,10,13,346,Friday
10,1966,28-08-2025,Grocery,1484,No,0,17,258,Monday
11,1046,29-03-2025,Home,1847,No,0,23,298,Monday
40,1668,02-02-2025,Home,916,Yes,0,36,132,Thursday
3,1344,13-05-2025,Personal Care,150,Yes,10,21,27,Tuesday
40,1760,11-06-2025,Electronics,2351,No,0,21,372,Thursday
28,1553,27-10-2025,Home,1510,Yes,20,35,317,Friday
44,1958,14-11-2025,Electronics,1100,No,0,19,487,Thursday
16,1568,25-10-2025,Home,1968,No,0,25,411,Tuesday
41,1703,02-01-2025,Clothing,695,No,0,21,165,Saturday
42,1388,17-12-2025,Grocery,2013,Yes,15,50,401,Sunday
37,1867,19-11-2025,Personal Care,2764,No,0,36,225,Wednesday
4,1656,14-03-2025,Grocery,1943,Yes,0,35,183,Thursday
4,1240,25-10-2025,Home,1197,No,0,17,45,Monday
7,1436,29-06-2025,Personal Care,220,No,0,47,119,Saturday
19,1323,06-12-2025,Personal Care,288,Yes,15,17,459,Thursday
45,1854,16-08-2025,Clothing,2110,No,0,18,494,Tuesday
20,1820,31-03-2025,Grocery,2785,Yes,30,38,146,Sunday
2,1979,19-09-2025,Clothing,1998,No,0,7,385,Tuesday
43,1163,26-02-2025,Clothing,1978,No,0,19,497,Saturday
40,1710,13-05-2025,Personal Care,1229,No,0,16,179,Wednesday
28,1888,27-07-2025,Home,2708,Yes,30,24,392,Saturday
15,1393,30-12-2025,Clothing,60,No,0,46,272,Saturday
15,1669,12-11-2025,Grocery,210,Yes,5,30,275,Sunday
18,1707,05-04-2025,Grocery,2894,Yes,20,38,240,Wednesday
22,1336,28-01-2025,Grocery,2703,No,0,21,371,Sunday
22,1111,23-05-2025,Electronics,1240,No,0,18,257,Sunday
46,1548,26-01-2025,Home,2190,No,0,11,53,Monday
16,1444,16-06-2025,Home,2205,Yes,10,30,122,Friday
34,1880,23-11-2025,Personal Care,336,No,0,18,46,Wednesday
6,1124,07-08-2025,Home,1747,Yes,15,38,491,Tuesday
42,1946,13-09-2025,Clothing,1999,No,0,50,410,Saturday
13,1186,30-01-2025,Personal Care,2451,No,0,5,26,Friday
18,1785,27-11-2025,Grocery,665,Yes,20,39,159,Sunday
31,1198,09-05-2025,Grocery,2941,Yes,15,14,51,Thursday
9,1435,12-09-2025,Personal Care,2304,Yes,0,33,157,Thursday
44,1884,11-11-2025,Home,1052,No,0,30,437,Saturday
4,1584,30-08-2025,Home,240,Yes,30,26,308,Tuesday
47,1479,12-11-2025,Grocery,118,No,0,40,57,Saturday
41,1122,20-06-2025,Clothing,901,Yes,30,31,269,Friday
48,1408,08-04-2025,Clothing,140,Yes,30,37,280,Friday
24,1678,11-08-2025,Electronics,188,Yes,30,24,157,Thursday
27,1893,04-06-2025,Personal Care,1905,No,0,6,181,Tuesday
30,1675,11-07-2025,Personal Care,414,No,0,40,396,Thursday
47,1618,02-11-2025,Home,1694,Yes,30,25,136,Wednesday
35,1600,23-06-2025,Personal Care,1832,Yes,30,16,172,Tuesday
23,1784,06-08-2025,Clothing,2965,No,0,28,28,Sunday
20,1978,10-04-2025,Home,419,No,0,40,133,Sunday
42,1400,04-02-2025,Personal Care,294,No,0,18,318,Monday
17,1262,27-12-2025,Personal Care,2966,No,0,35,402,Wednesday
47,1521,12-01-2025,Clothing,1719,Yes,0,35,89,Sunday
11,1944,16-11-2025,Home,2373,No,0,25,290,Thursday
44,1148,20-02-2025,Personal Care,2766,No,0,41,168,Sunday
29,1583,12-01-2025,Clothing,247,No,0,40,256,Friday
1,1307,06-10-2025,Electronics,1494,No,0,9,408,Monday
46,1280,15-03-2025,Clothing,2877,No,0,29,444,Tuesday
10,1807,08-06-2025,Personal Care,2418,Yes,20,34,211,Thursday
41,1813,14-01-2025,Electronics,1072,Yes,5,6,33,Monday
43,1838,29-05-2025,Clothing,1132,Yes,15,14,49,Saturday
14,1866,30-08-2025,Clothing,915,No,0,26,378,Wednesday
39,1517,02-07-2025,Electronics,163,No,0,33,489,Sunday
42,1987,23-06-2025,Home,2297,Yes,20,18,337,Wednesday
31,1363,05-11-2025,Clothing,1816,Yes,5,16,488,Friday
31,1373,31-01-2025,Electronics,935,No,0,29,466,Sunday
38,1025,18-02-2025,Clothing,2069,Yes,30,45,401,Monday
25,1064,22-02-2025,Home,231,No,0,39,409,Thursday
45,1694,14-06-2025,Grocery,135,Yes,20,18,159,Monday
23,1255,03-07-2025,Grocery,1964,No,0,6,133,Friday
2,1372,07-06-2025,Home,1069,No,0,5,173,Wednesday
7,1480,12-12-2025,Personal Care,2474,Yes,10,17,108,Monday
45,1735,13-09-2025,Electronics,827,No,0,43,299,Sunday
30,1454,27-09-2025,Personal Care,1742,No,0,21,205,Friday
